,date_heure,debit,taux,year,month,hour,date,holidays,study_break,temperature,precipitations,wind_speed,travaux_impact,Etat_trafic_metro,Etat_trafic_RERA,Etat_trafic_RERB,Manifestations,Events_encoded,Paris_respire_encoded,Confinement,Couvre_feu,weekday_friday,weekday_monday,weekday_saturday,weekday_sunday,weekday_thursday,weekday_tuesday,weekday_wednesday,season_autumn,season_spring,season_summer,season_winter,weather_Averse(s),weather_brouillard,weather_bruine,weather_neige,weather_normal,weather_nuages faibles,weather_nuages fort,weather_nuages moderes,weather_orage,weather_pluie
1,2019-11-01 05:00:00,197.0,2.50778,2019,11,5,2019-11-01,1,1,10.86666666666671,0.7999999999999999,3.0,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0
2,2019-11-01 06:00:00,163.0,2.05111,2019,11,6,2019-11-01,1,1,11.033333333333378,1.5999999999999999,3.6,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
3,2019-11-01 07:00:00,170.0,2.08944,2019,11,7,2019-11-01,1,1,11.200000000000044,2.4,4.2,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
4,2019-11-01 08:00:00,225.0,2.915,2019,11,8,2019-11-01,1,1,11.5666666666667,1.7999999999999998,4.5,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
5,2019-11-01 09:00:00,213.0,2.89667,2019,11,9,2019-11-01,1,1,11.933333333333355,1.2,4.8,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
6,2019-11-01 10:00:00,296.0,3.70667,2019,11,10,2019-11-01,1,1,12.300000000000011,0.6,5.1,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
7,2019-11-01 11:00:00,407.0,5.056109999999999,2019,11,11,2019-11-01,1,1,12.666666666666686,0.6,4.566666666666666,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
8,2019-11-01 12:00:00,463.0,7.058339999999999,2019,11,12,2019-11-01,1,1,13.033333333333362,0.6,4.033333333333333,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
9,2019-11-01 13:00:00,513.0,6.842219999999999,2019,11,13,2019-11-01,1,1,13.400000000000036,0.6,3.5,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
10,2019-11-01 14:00:00,457.0,5.70944,2019,11,14,2019-11-01,1,1,14.133333333333367,0.4666666666666667,3.8666666666666667,21,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
